company_name,date,calculated_score,average_severity,number_of_evidence,holistic_analysis
ABNB,2023-02-17,42,4.666666666666667,9,"Airbnb’s 2023 Form 10-K treats COVID-19 as both an historical shock and a persisting, material threat.  The filing acknowledges that the pandemic already “materially adversely impacted” revenue through travel bans, quarantines and mass cancellations, and that it continues to influence host supply, guest demand, workforce deployment (remote work) and even cyber-security exposure.  Disclosures are largely qualitative but they go beyond boiler-plate: management cites concrete operational mechanisms—government travel restrictions, guests’ cancelled reservations under the extenuating-circumstances policy, long-lasting shifts in economic conditions, and heightened regulatory burdens—that can erode revenue and margins.  The statements are framed as existing impacts with potential for future amplification, using forceful language such as “materially adversely impacted” and “long-lasting adverse impact.”  Because the filing date (17 Feb 2023) is within three years of the WHO’s pandemic declaration (11 Mar 2020), the Time Decay Principle allows high severity scores (7-10) for direct, present-tense impacts and mid-range scores (3-6) for forward-looking or secondary effects.  No significant mitigating actions (e.g., hedging, insurance, or quantified recovery) are offered in the cited sentences, so deductions are minimal.  Taken together, the evidence depicts a high but not existential risk profile: the pandemic still shapes Airbnb’s operating environment and could quickly reignite revenue volatility should variants or regulations resurface."
ABNB,2024-02-16,14,4.666666666666667,3,"Airbnb’s 2024 Form 10-K positions the COVID-19 pandemic as an ongoing, medium-term risk that still meaningfully threatens demand, operations and the regulatory environment but no longer dominates the short-term outlook as it did in 2020-2022.  All references are forward-looking: management warns that future public-health crises—explicitly citing COVID-19—could suddenly depress travel demand, reduce listings, create cash-flow pressure and trigger new, restrictive laws.  The language is largely qualitative and speaks to potential material adverse effects (“would be materially adversely affected”) rather than disclosing fresh quantified impacts, reflecting that the acute phase has passed but uncertainty remains.  Because the filing date (Feb 2024) is just under four years from the WHO pandemic declaration, the Time Decay Principle places these disclosures in the 4-10-year ‘medium-term’ window, capping individual snippet scores around 4-6.  The sentences below collectively show (1) demand risk, (2) industry-wide travel disruption risk specifically naming COVID-19, and (3) continuing regulatory uncertainty stemming from pandemic-driven rules.  No meaningful mitigating factors (e.g., vaccinations, diversified geographies) are offered in these sentences.  Therefore each excerpt earns a moderate severity score, reflecting persistent but no longer acute exposure."
ABT,2021-02-19,49,3.769230769230769,13,"The 2021-02-19 Form 10-K explicitly ties Abbott’s risk profile to the still-unfolding COVID-19 pandemic.  Within Item 1A the company frames the pandemic as a live, enterprise-wide threat that can simultaneously erode demand, snarl supply chains, strain labour availability and unsettle capital markets.  The language combines both forward-looking uncertainty (e.g., EUAs could lapse; duration is unknown) and backward-looking evidence of realised impacts (e.g., lost procedure volumes, disrupted emerging-market drug sales).  Several passages also note operational counter-measures—business-continuity planning, remote work, travel bans—which partially mitigate, but do not eliminate, the exposure.  Under the Time Decay Principle the event is < 1 year old at filing, so high scores (up to 10) are permissible where impacts are direct and material.  Most statements are qualitative and unquantified, warranting mid-to-high single-digit scores; sentences that merely note mitigation or generic caution are scored lower or offset by negative points."
ABT,2022-02-18,39,3.25,12,"Across both the Risk Factors section and the MD&A, Abbott explicitly links the ongoing COVID-19 pandemic (declared March 2020) to a spectrum of operational, financial, and macro-economic threats. Because the Form 10-K was filed on 18 February 2022—well inside the 0-3-year ‘recent-event’ window—the Time Decay Principle permits elevated severity scores. The language shows a blend of realised impacts (e.g., higher costs, volatile test demand, past business challenges) and forward-looking uncertainties (e.g., unpredictable variants, potential inability to meet demand). Although most sentences remain qualitative and lack hard dollar figures, they describe concrete mechanisms—supply-chain disruption, labour/material shortages, demand volatility—that can materially erode revenue and margins. Mitigating statements exist (e.g., the firm has “been able to manage” disruptions so far), but these are hedged with “no assurance” caveats. Overall, the pandemic constitutes an active, evolving risk with medium-to-high severity for Abbott, warranting mid-to-upper-range snippet scores (4-7) under the scoring rubric."
ABT,2023-02-17,87,5.4375,16,"Abbott’s 2023 Form 10-K repeatedly ties the 2020-23 COVID-19 pandemic to concrete, already-incurred disruptions and to forward-looking uncertainty.  The filing describes realised cost inflation and availability problems in raw materials and services, demand volatility for COVID-19 tests, procedure deferrals in device businesses, and volatile macro-economic conditions.  It also warns that the pandemic ""may continue"" to have a material effect on results, while acknowledging some mitigation (supply resilience so far, monitoring of regulatory changes, recovery in certain product lines).  Because the pandemic event is recent (within three years of the filing), the Time Decay Principle allows high severity scores where impacts are direct and material.  However, sentences that emphasise successful mitigation or recovery reduce the net score for that piece of evidence.  Overall, the risk remains elevated and ongoing, but partly offset by the company’s actions to manage supply chains, monitor regulations, and diversify its portfolio."
ABT,2024-02-16,32,4.0,8,"ABT’s 2024 Form 10-K makes it clear that COVID-19 remains a material but gradually receding driver of enterprise-wide risk.  Although the acute phase of the pandemic started nearly four years ago, the company still attributes demonstrable impacts to it: higher raw-material costs, supply-chain disruptions, labour availability problems, volatile testing demand, and procedure slow-downs in device businesses.  The language is not hypothetical; it cites realised consequences (“had a material effect…”, “negatively impacted…”, “adversely impacted cost and availability…”), quantified drops in testing revenue, and continuing unpredictability in 2024.  At the same time, ABT notes some mitigating dynamics—shift to an endemic state, recovery of certain volumes, and management’s ability to avoid “significant supply disruption.”  Applying the Time Decay Principle, COVID-19 sits at the front edge of the 4-to-10-year ‘medium-term’ window (≈3.9 years since March 2020), so evidence can still score moderately high but should not exceed 6.  Consequently, the strongest sentences that link the pandemic to concrete operational or financial harm receive scores of 6, while more generic, macro-economic, or partially mitigated statements score 3-5."
ACGL,2021-02-26,76,6.333333333333333,12,"Arch Capital Group Ltd.’s 2021 filing identifies COVID-19 as both an already-material and an evolving, forward-looking threat.  The language spans concrete, quantified impacts ($272 million of 2020 losses) and broad, prospective exposures—higher claim frequency, investment volatility, mortgage defaults, regulatory mandates, remote-work cyber risk and litigation.  The company repeatedly uses strong qualifiers such as “material” and “significant,” confirming that management sees the pandemic as a top-tier risk to results of operations, capital and liquidity.  Most disclosures are recent (less than one year after WHO’s pandemic declaration), so Time Decay does not dilute severity.  Although some mitigating references exist (e.g., capital strength, reinsurance), they are sparse and not sentence-specific.  Overall, the evidence portrays a high and multi-dimensional risk profile consistent with severity scores in the upper mid-to-high range (5-9) under the scoring framework."
ACGL,2022-02-25,61,5.083333333333333,12,"ACGL’s 2022 Form 10-K openly frames COVID-19 as a current, high-severity threat across virtually every dimension of its global insurance, reinsurance and mortgage platforms.  The company does not treat the pandemic as a historical footnote; instead, it states that (i) the virus and an emerging “endemic” environment can still materially impair underwriting results, investment income and liquidity, (ii) regulatory, rating-agency and governmental responses could reshape coverage terms, pricing and capital needs, (iii) prolonged low-rate and volatile capital-market conditions tied to COVID-19 threaten investment returns, (iv) pandemic-driven economic stress is already pushing mortgage delinquencies higher and could spark future credit losses, and (v) the forced migration to remote work raises operating-risk and cyber-risk profiles.  Every disclosure is forward-looking or contemporaneous, couched in “material” or “significant” language, and linked to specific balance-sheet or operational vectors (claims frequency, premium volume, IT capacity, workforce stability, etc.).  Because the filing date (25 Feb 2022) falls within two years of the WHO pandemic declaration, the Time Decay Principle permits high severity scores.  While many sentences use conditional verbs (“could,” “may”), ACGL also cites observed impacts (higher claims, defaults, IT strain).  Taken together, the statements evidence an acute, still-evolving risk environment with limited mitigation, justifying elevated micro-scores in the 7-9 range."
ACGL,2023-02-24,47,4.7,10,"Arch Capital’s 2023 filing ties the COVID-19 pandemic to multiple, still-unfolding risk vectors that reach well beyond the initial health crisis.  The company acknowledges both realised effects (e.g., investment-portfolio hits in Q2-2020, regulatory mandates already ‘impacting’ operations) and prospective threats such as renewed variants, lingering mortgage forbearance, collateral calls, capital-market access, labour-model disruption and heightened claim frequency in specific lines (trade credit, travel, workers’ compensation, business interruption).  The language is largely specific and company-centred—using terms like “materially affect,” citing mortgage default mechanics, collateral triggers and rating-agency reactions—rather than generic boiler-plate.  Because the filing date (24-Feb-2023) is less than three years after the WHO pandemic declaration, the Time Decay Principle permits high severity scores (up to 10).  Nonetheless, some sentences are forward-looking without quantified dollar impact or are partly mitigated by company actions (e.g., hybrid work model), warranting score modulation.  Overall, COVID-19 remains a direct, active and multi-faceted risk for ACGL, justifying high but differentiated micro-scores across the extracted evidence."
ACGL,2024-02-23,12,1.7142857142857142,7,"ACGL’s 2024 filing references the COVID-19 pandemic primarily as an external macro-economic shock that can aggravate inflation, recessionary trends and large-loss scenarios, and secondarily as an operational disruptor that triggered hybrid-work arrangements and some claims activity.  Most language is prospective (""potential"", ""may"", ""could"") rather than reporting quantified, realized losses; indeed, management notes that related claims have already fallen and that the company does not expect a significant ongoing impact.  Thus, the pandemic is framed as a lingering, but diminishing, risk driver—affecting investment markets, inflation, workforce patterns and the tail-risk of future pandemics—rather than a current material hit to earnings.  Because the filing date (Feb-2024) is almost four years after the WHO pandemic declaration, the Time-Decay Principle places the event at the cusp of the recent/medium window, so individual sentence scores should sit in the mid-range (4-6) when the wording conveys meaningful adverse impact, and lower (1-3) when statements are generic or heavily mitigated.  No passage contains hard numbers or audited loss amounts; consequently, the overall evidence set indicates a moderate, forward-looking risk rather than an acute, quantified loss event."
ACN,2021-10-15,58,5.2727272727272725,11,"All COVID-19 references occur a little more than one year before the filing date, so they fall squarely inside the 0-3-year ‘recent-event’ window; the Time Decay Principle therefore allows high scores (up to 10).  The filing describes both realized and prospective consequences: actual office closures, disrupted operations, employee-health strains and heightened cyber-threats are cited as impacts that have already occurred, while demand volatility, continued macro-economic uncertainty and the possibility that future variants or inadequate vaccines will hamper the firm’s ability to innovate represent forward-looking exposures.  Language is consistently explicit—using phrases such as “materially adversely impact,” “significantly negative,” or “disrupted our business”—but the document supplies no hard dollar amounts, so no snippet earns the absolute maximum.  Mitigating remarks (e.g., successful continuity procedures in India/Philippines) slightly temper some scores.  Overall, the evidence depicts a broad, multi-dimensional, still-evolving risk profile that is clearly material to ACN’s operations, warranting mid-to-high severity grades across the extracted sentences."
ACN,2022-10-12,15,3.0,5,"ACN’s 2022-10-12 Form 10-K places the COVID-19 pandemic squarely within its portfolio of material business threats. Because the filing date is barely thirty months after the WHO declaration (well inside the 0-3-year ‘recent event’ window), the Time Decay Principle allows elevated scoring.  The company explicitly acknowledges that COVID-19 has already harmed operations (“have had” impact) and could continue to do so.  The narrative, however, stays largely qualitative: it stresses volatile demand, impeded travel/communications, difficulty staffing projects, and supply-chain turbulence, but provides no quantified revenue, margin or cash-flow figures.  Risk language is strong (“significantly negative impacts”) yet is bundled with many other hazards, diluting specificity.  Overall, the evidence portrays a live, ongoing, but not precisely measured exposure—warranting mid-to-high severity marks for the most direct statements, and lower marks for generic or indirect references."
ACN,2023-10-12,22,4.4,5,"The filing discusses the COVID-19 pandemic as part of a broader set of disruptive “health emergencies or pandemics.”  Although the pandemic began more than three years before the October 2023 filing date, the text still frames COVID-19 as both a historic and forward-looking threat that can materially impair Accenture’s operations, client demand, workforce availability and technology infrastructure.  The language is largely qualitative and bundled with other catastrophe-type risks, so it lacks granular financial quantification; however, it identifies multiple concrete transmission channels—remote-work cyber-exposure, travel and communication breakdowns, labour shortages, and sudden shifts in economic activity.  Under the Time-Decay Principle, the pandemic is now in the 4-to-10-year “medium-term” window, meaning evidence can merit moderate severity scores (≈4-6).  The extracted sentences therefore receive mid-range scores, reflecting explicit COVID-19 references, acknowledgement of past damage, and the possibility of significant future harm, but tempered by their generic, bundled presentation and absence of hard numbers."
ACN,2024-10-10,9,3.0,3,"The filing, dated October 10 2024, addresses the COVID-19 pandemic only in broad, catch-all language. Management groups ‘global health emergencies’ and ‘pandemics’ with other macro hazards and notes that these events have previously hurt demand and could do so again. The wording signals the company has already experienced some adverse impact (historical anchoring) while also treating the threat as an ongoing, forward-looking uncertainty. No dollar amounts, supply-chain statistics, or labor-force metrics are provided, and no specific mitigation steps (e.g., diversified sourcing, vaccination policies) are disclosed. Because the pandemic’s onset is now roughly 4½ years in the past, the Time Decay Principle requires that evidence be scored in the moderate range: the risk is still relevant but no longer at its peak. Consequently, individual snippet scores fall between 1 and 5, reflecting generic but still credible references to demand disruption and operational challenges such as prolonged remote work."
ADBE,2021-01-15,71,5.461538461538462,13,"Adobe’s January 15 2021 filing discusses COVID-19 as an immediate, material and multifaceted threat.  Multiple passages confirm that the pandemic has already ‘materially affected’ operations—e.g., global office closures, mandatory remote-work, cancellation of in-person events and observable slow-downs in customer IT spending.  The company also highlights forward-looking uncertainties: potential long-term shifts in working patterns, supply-chain disruptions and delays in subscription renewals that might surface in later periods because of the firm’s ratable-revenue model.  The language is specific (naming concrete operational actions and financial exposure) and predominantly aggravating; very few mitigating actions are offered beyond generic monitoring and virtualisation of events.  Because the filing date is less than a year after the WHO declaration, the Time Decay Principle permits high scores.  Overall, the evidence signals a high-severity, ongoing risk, warranting snippet scores clustered in the 4-to-9 range, with the strongest sentences receiving higher values where they show current, material impact on revenue or operations."
ADBE,2022-01-21,59,4.538461538461538,13,"Adobe’s 2022 filing presents COVID-19 as a recent (≤3-year) event that has already produced material, multi-dimensional impacts and continues to pose significant uncertainty. The company discloses concrete, experienced disruptions – office closures, modified business practices, supply-chain delays, slowdowns in customer purchasing and IT spending – alongside forward-looking threats to workforce health, productivity, demand, real-estate strategy and partner performance. Language such as “materially affected,” “have seen,” and “are continuing to cause” confirms an existing, direct impact, while repeated references to uncertain duration, future variants and macroeconomic persistence highlight residual and potentially amplifying risk. Because the statements are recent, specific and describe both realized harm and ongoing vulnerability across operations, supply chain, labor and demand, the overall risk level is high under the Time Decay Principle. Mitigations are mentioned only tangentially (e.g., subscription model defers recognition), so they do little to offset severity. Consequently, individual sentence scores cluster in the upper-mid to high range (2-7), reflecting granular differences in specificity, materiality and conditionality, but all remain within the 0-10 bounds appropriate for a contemporary event."
ADBE,2023-01-17,20,5.0,4,"All pandemic-related disclosures in the filing are clustered in the Risk Factors section and frame COVID-19 as both a realized and continuing threat.  Adobe acknowledges concrete impacts (e.g., supply-chain disruptions that have already occurred) as well as forward-looking uncertainties (e.g., acquisition delays, potential operational interruptions and macro-economic slow-downs).  The language is largely qualitative and precautionary—there are no dollar figures or quantified volume losses—yet it is specific enough to tie the pandemic to strategic functions such as M&A execution, hardware procurement for data-center continuity, and day-to-day customer operations.  Because the filing date (17 Jan 2023) is less than three years after the WHO declaration (11 Mar 2020), the Time Decay Principle permits elevated scores.  Nonetheless, the absence of quantified financial impact, coupled with mentions of only potential or un-sized adverse effects, moderates the severity assessment.  Overall, the pandemic presents a meaningful but not catastrophic risk to Adobe; corresponding snippet scores therefore fall in the mid-to-upper range (3-7) rather than the maximum level."
ADBE,2024-01-17,9,1.5,6,"Adobe’s January 17 2024 Form 10-K acknowledges the COVID-19 pandemic primarily as a continuing but indeterminate source of operational and financial risk.  Nearly four years after the World Health Organization declared the pandemic, the company frames COVID-19-related disruption as an event that “has had and may continue to have” adverse effects rather than providing any fresh, quantified impact.  The disclosures are forward-looking and largely generic—COVID-19 is bundled with other catastrophes, and management emphasises uncertainty (“will depend on many factors outside of our control”).  Nonetheless, Adobe does point to concrete vectors through which pandemic conditions could still hurt performance: employee productivity in a hybrid-work model, supply-chain and service-provider interruptions, and the possibility that a renewed global outbreak could magnify other risk factors.  Under the Time Decay Principle, an event that began in 2020 but remains relevant in 2024 warrants moderate severity: the immediacy of crisis has diminished, yet the company still sees material downside potential.  Accordingly, the individual evidence scores cluster in the low-to-mid range, with higher marks given to statements that explicitly link COVID-19 to adverse operating results and lower marks for broad, boiler-plate references."
ADI,2021-12-03,75,5.0,15,"Analog Devices, Inc. (ADI) provides an extensive and fairly candid discussion of COVID-19-related risks in its December 3 2021 Form 10-K.  Because the filing date is less than two years after the WHO pandemic declaration, the Time Decay Principle permits relatively high severity scores.  The disclosure spans both realized impacts (plant disruptions, remote-work transition, transportation bottlenecks and capital-market volatility) and forward-looking uncertainties (potential recession, future variants, liquidity stress and workforce illness).  Language is generally strong—using phrases such as “have adversely impacted,” “material adverse effect,” and “cannot assure”—indicating that management sees the pandemic as an active and continuing threat rather than a hypothetical contingency.  While no dollar amounts are provided, the breadth of operational areas cited (manufacturing, supply chain, labour, customer demand, liquidity) elevates the overall risk profile.  Mitigation references are limited (e.g., altered workplace practices), so downside exposure remains prominent.  In aggregate, the evidence supports upper-mid to high individual snippet scores (roughly 6-8), with lower scores for statements that are purely uncertain or generic.  The overall risk level is high for a recent, ongoing event with multi-faceted operational consequences, justifying robust snippet scoring within the allowed 0-10 range."
ADI,2022-11-22,34,3.4,10,"ADI’s 2022-11-22 Form 10-K repeatedly flags COVID-19 as both an already-felt and still-evolving threat.  Statements range from generic references in multi-factor risk lists to concrete descriptions of manufacturing slow-downs, supply-chain disturbances, remote-work complications, and potential liquidity strain if customers delay payments.  The company notes actual facility disruptions and work-practice changes that have already occurred, while also stressing that future impacts hinge on uncertain variables such as new variants and vaccination progress.  Because the filing date is less than three years after the WHO pandemic declaration, the Time Decay Principle permits high scores.  However, many passages remain forward-looking and unquantified, or contain mitigating language (“could,” “uncertain,” contingency planning).  Accordingly, the evidence cluster warrants upper-mid but not maximum severity scores—generally 3-9—reflecting meaningful but mostly un-quantified, evolving risk rather than a precisely measured financial hit."
ADI,2023-11-21,30,3.3333333333333335,9,"Analog Devices, Inc. (ADI) continues to treat the COVID-19 pandemic as a live, multi-dimensional risk even though the first global outbreak occurred more than three years before the 21 November 2023 filing date.  Across the Risk Factors section the company reiterates that COVID-19 has already disrupted its workforce, manufacturing footprint and supply chain, and that it can still trigger further production delays, customer-payment problems and heightened exposure to other listed risks.  The disclosures are largely qualitative—no dollar figures or quantified capacity losses are supplied—but they expressly link the pandemic to operational, financial and logistical stress points such as factory access restrictions, supply-chain interruptions and customer demand volatility.  Most sentences rely on conditional language (“may,” “could”), signalling forward-looking uncertainty rather than certain impact; however ADI also acknowledges historic, realised disruption, which elevates severity.  Under the Time Decay Principle, COVID-19 qualifies as a recent event (≤ 3 years), so evidence that shows direct or ongoing impact can attain moderately high scores (7-8), while generic, boiler-plate mentions stay lower.  No strong mitigating statements (e.g., detailed contingency plans or quantified cost controls) are provided, so deductions are mainly for conditional phrasing rather than offsetting actions."
ADI,2024-11-26,11,3.6666666666666665,3,"ADI’s 2024 Form 10-K still flags the COVID-19 pandemic as a meaningful—though now medium-term—threat.  The filing does not cite any fresh, quantified losses; instead, management presents the pandemic in a forward-looking, contingency frame, grouping it with other catastrophic events.  Nonetheless, the language ties COVID-19 (and broader public-health emergencies) directly to core value-drivers: manufacturing continuity, supply-chain availability, and revenue predictability.  Because the pandemic’s official onset was in March 2020 and the filing date is November 2024 (~4¾ years later), Time-Decay shifts the evidence out of the “recent” band and into the 4-10 year window, capping potential severity at a moderate level.  The disclosures remain risk-elevating—mentioning global supply-chain constraints, possible factory shutdowns, and inventory disruptions—but they are entirely qualitative and embedded in long, catch-all sentences.  Taking these factors together, the overall risk signal is specific enough to matter (COVID-19 is named) yet lacks fresh, quantified impact, yielding a moderate aggregate risk posture in line with a medium-term event."
